trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
331,False,"{'a': 0.5, 'e': -0.6659448039708386}",25,11,24.070514615879507,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': -0.627828035246386}",20,10,17.441492750648635,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': -0.5881420234003374}",20,16,7.303877391855732,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': -0.5469859627942356}",25,12,23.073646557130374,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': -0.504462722145928}",20,8,21.589839486186982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': -0.46067858741136253}",20,16,8.740435059522447,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': -0.41574299612503907}",20,3,29.14998351652067,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': -0.3697682638631698}",30,13,30.514653872884587,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': -0.3228693035132352}",25,19,13.455750874332411,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': -0.27516333805159693}",35,18,30.651911318456538,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': -0.22676960754712588}",25,7,30.130410641732862,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': -0.17780907112311564}",35,22,24.79064091913341,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': -0.12840410462247173}",25,15,19.508554590068165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': -0.07867819473184015}",35,20,27.208490116573802,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': -0.028755630329187164}",20,10,16.524212573620602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
